Kelompok 9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
Responden 144,4,4,4,4,4,4,4,4
Responden 145,4,3,4,2,4,4,4,4
Responden 146,4,2,1,2,5,1,5,2
Responden 147,4,3,3,2,2,3,3,5
Responden 148,4,2,2,2,4,2,4,2
Responden 149,5,4,4,4,3,3,4,4
Responden 150,4,2,2,4,3,3,4,2
Responden 151,4,3,3,4,3,3,5,4
Responden 152,5,3,3,2,3,4,4,4
Responden 153,4,3,3,2,5,4,5,4
Responden 154,4,2,3,3,4,3,5,4
Responden 155,5,5,5,3,5,3,4,4
Responden 156,4,1,1,2,5,2,4,4
Responden 157,4,3,3,5,5,3,3,4
Responden 158,4,4,4,2,3,3,4,2
Responden 159,4,4,4,4,3,3,3,4
Responden 160,4,3,3,3,4,4,3,4
Responden 161,5,3,3,2,4,2,4,5
Responden 162,3,3,2,4,4,2,4,2
Responden 163,5,4,4,3,4,3,3,4
Responden 164,4,2,3,5,4,3,4,1
Responden 165,3,3,3,2,2,4,4,3
Responden 166,4,4,4,4,4,2,4,5
Responden 167,5,3,3,4,3,4,4,2
Responden 168,4,4,4,3,3,2,3,5
Responden 169,4,3,4,5,5,3,1,5
Responden 170,4,4,4,3,4,3,3,4
Responden 171,4,4,3,3,3,3,4,3
Responden 172,5,3,3,4,4,4,4,4
Responden 173,4,3,2,4,4,2,4,3
Responden 174,4,4,4,2,4,4,4,3
Responden 175,4,3,3,3,3,4,3,3
Responden 176,5,4,3,1,3,3,3,3
Responden 177,4,2,2,1,4,3,2,2
Responden 178,5,5,5,5,5,2,1,2
Responden 179,4,3,3,2,2,3,4,4
Responden 180,5,4,4,3,3,3,4,4
Responden 181,4,2,2,2,4,4,4,4
Responden 182,4,4,4,4,2,5,4,2
Responden 183,4,3,3,3,4,2,4,4
Responden 184,3,2,2,1,1,1,1,4
Responden 185,4,3,3,3,4,2,4,4
Responden 186,4,4,3,3,5,4,3,2
Responden 187,4,4,3,3,5,1,5,2
Responden 188,3,2,2,3,2,4,4,4
Responden 189,5,4,4,2,5,3,4,4
Responden 190,4,2,2,3,2,4,4,3
Responden 191,4,3,3,2,4,2,4,4
Responden 192,4,3,4,5,5,1,5,4
Responden 193,4,3,3,1,4,2,5,3
Responden 194,5,2,2,2,5,2,3,1
Responden 195,5,3,3,1,4,2,5,4
Responden 196,4,3,3,1,4,1,5,4
Responden 197,4,3,3,2,4,3,4,4
Responden 198,2,4,3,3,4,2,2,4
Responden 199,4,3,1,1,4,2,4,4
Responden 200,4,3,3,3,3,4,4,4
Responden 201,4,4,4,3,4,4,4,3
Responden 202,4,2,2,2,3,4,4,4
Responden 203,5,3,3,2,3,3,4,4
Responden 204,4,3,2,1,4,2,4,2
Responden 205,3,1,2,3,5,2,3,1
Responden 206,4,3,4,3,5,2,4,2
Responden 207,4,2,1,2,5,3,5,3
Responden 208,4,3,3,1,4,2,5,3
Responden 209,1,2,2,5,3,1,2,4
Responden 210,2,4,2,3,4,4,1,2
Responden 211,1,3,1,3,5,2,1,4
Responden 212,2,4,5,5,3,3,2,2
Responden 213,4,4,1,2,2,4,2,2
Responden 214,5,5,5,4,4,1,4,3
Responden 215,2,3,1,4,4,4,4,2
Responden 216,4,4,3,4,4,2,4,2
Responden 217,3,4,4,3,5,3,4,1
Responden 218,5,2,2,3,5,3,5,3
Responden 219,4,4,4,2,1,3,4,2
Responden 220,4,3,3,4,3,2,5,3
Responden 221,3,3,4,4,5,3,4,1
Responden 222,4,4,4,2,5,5,3,1
Responden 223,3,2,2,2,5,2,5,4
Responden 224,5,2,2,3,5,3,5,2
Responden 225,4,3,3,2,5,2,4,1
Responden 226,5,3,2,4,5,3,5,1
Responden 227,4,4,4,2,5,2,3,1
Responden 228,3,3,3,3,4,3,5,3
Responden 229,4,3,4,2,5,2,3,1
Responden 230,5,2,2,3,5,3,5,4
Responden 231,4,3,4,2,5,2,3,1
Responden 232,4,3,4,2,5,2,3,1
Responden 233,1,4,4,2,1,5,5,1
Responden 234,4,2,2,4,4,2,4,4
Responden 235,2,2,4,3,3,2,2,3
Responden 236,4,3,4,2,5,2,3,1
Responden 237,3,3,3,3,5,3,5,3
Responden 238,1,3,1,2,1,5,2,4
Responden 239,5,1,1,3,5,3,5,4
Responden 240,4,3,4,2,5,4,3,1
Responden 241,4,3,4,2,5,2,3,1
Responden 242,5,3,3,3,5,3,4,1
Responden 243,4,3,4,2,5,2,3,1
Responden 244,4,3,3,2,3,3,4,3
Responden 245,4,3,3,2,3,3,4,3
Responden 246,3,1,1,2,5,3,5,4
Responden 247,1,2,2,2,1,1,2,3
Responden 248,3,3,3,4,3,3,5,4
Responden 249,4,3,3,2,4,3,3,4
Responden 250,5,2,2,3,5,3,4,4
Responden 251,5,4,5,2,4,2,2,4
Responden 252,4,3,4,2,5,2,3,1
Responden 253,3,3,4,2,5,4,4,1
Responden 254,4,2,2,1,5,2,3,3
Responden 255,4,2,2,3,2,4,2,4
Responden 256,5,3,3,3,3,3,5,4
Responden 257,4,3,3,4,4,2,4,2
Responden 258,4,2,5,4,5,3,4,1
Responden 259,4,4,4,2,3,2,3,4
Responden 260,4,3,4,2,3,3,4,2
Responden 261,4,2,2,4,4,2,4,4
Responden 262,5,2,3,1,5,4,5,4
Responden 263,5,3,3,2,5,3,5,1
Responden 264,5,3,4,2,2,3,5,5
Responden 265,5,4,3,3,5,3,4,1
Responden 266,4,4,3,3,4,3,4,2
Responden 267,4,3,3,2,5,3,4,2
Responden 268,5,5,3,3,5,2,4,1
Responden 269,4,3,3,2,4,2,3,4
Responden 270,4,4,3,2,4,3,4,3
Responden 271,4,3,2,4,5,5,5,4
Responden 272,1,3,3,1,2,4,2,5
Responden 273,4,3,3,3,3,3,4,4
Responden 274,4,3,3,3,4,3,5,4
Responden 275,4,4,4,4,4,4,4,2
Responden 276,4,4,3,2,4,3,5,4
Responden 277,4,3,3,4,4,3,5,2
Responden 278,5,1,1,3,5,3,5,3
